,contig,eveSites,eveTEoverlap,length,teSites,teProp,eveTEProp
1317,001317F,0,0,884030,476493,0.5390009388821646,
2423,002423F,0,0,24737,14610,0.5906132514047783,
3563,003563F,0,0,25120,17666,0.703264331210191,
1091,001091F,0,0,52750,26604,0.5043412322274882,
1911,001911F,0,0,96692,47170,0.4878376701278286,
1440,001440F,0,0,25913,8808,0.33990661058156135,
803,000803F,0,0,1376395,705090,0.5122730030260209,
1437,001437F,0,0,24107,12540,0.5201808603310242,
2596,002596F,0,0,225829,122952,0.5444473473291739,
3400,003400F,0,0,18704,14442,0.7721343028229256,
3674,003674F,0,0,11264,5731,0.5087890625,
3508,003508F,0,0,27961,19358,0.6923214477307679,
2928,002928F,0,0,60388,37239,0.6166622507783003,
1348,001348F,0,0,31108,17848,0.5737430885945738,
2004,002004F,0,0,213903,107843,0.5041677769830251,
2730,002730F,0,0,183303,117883,0.6431045863952035,
1361,001361F,0,0,31335,22260,0.7103877453326951,
714,000714F,0,0,506590,274829,0.5425077478829033,
1836,001836F,0,0,562499,317111,0.5637538911180286,
3641,003641F,0,0,16220,8709,0.5369297163995068,
3184,003184F,0,0,5718,3092,0.540748513466247,
242,000242F,0,0,2470527,1388890,0.5621836960292278,
71,000071F,0,0,18987,11952,0.6294833306999525,
1246,001246F,0,0,26646,14493,0.5439090294978608,
2939,002939F,0,0,38032,12975,0.34116007572570467,
1044,001044F,0,0,14451,13877,0.9602795654279981,
1493,001493F,1175,537,768844,445588,0.5795558006565701,0.4570212765957447
1707,001707F,0,0,148082,73449,0.4960022149889926,
138,000138F,0,0,2973314,1576426,0.5301915640258648,
2937,002937F,0,0,109108,70771,0.6486325475675477,
3593,003593F,0,0,22674,11165,0.49241421892917,
512,000512F,0,0,28687,19514,0.6802384355282881,
3627,003627F,0,0,19309,8456,0.43793049873116163,
835,000835F,0,0,155470,76496,0.4920306168392616,
2374,002374F,0,0,41174,20517,0.49829989799387964,
432,000432F,0,0,1939695,967101,0.4985840557407221,
1359,001359F,0,0,29252,16459,0.5626623820593464,
2181,002181F,0,0,149967,75629,0.5043042802749939,
2899,002899F,0,0,25469,15918,0.6249950920727159,
2604,002604F,0,0,35663,20617,0.5781061604464011,
3746,3748,0,0,41518,36691,0.8837371742376801,
2228,002228F,0,0,19184,8700,0.4535029190992494,
2213,002213F,0,0,30741,15774,0.5131257929149995,
3041,003041F,0,0,101135,55607,0.5498294359025065,
3450,003450F,0,0,31299,7139,0.22809035432441932,
1728,001728F,0,0,542397,279510,0.5153236467015857,
354,000354F,0,0,19930,16756,0.8407425990968389,
3294,003294F,0,0,26149,19082,0.7297410990860072,
2571,002571F,0,0,29065,17215,0.5922931360743162,
1065,001065F,0,0,32662,20629,0.6315902271753108,
3324,003324F,0,0,42454,25864,0.6092241013803176,
695,000695F,0,0,25199,11264,0.4470018651533791,
1717,001717F,0,0,625626,308480,0.49307413694443647,
403,000403F,0,0,1996630,1076306,0.5390613183213715,
2953,002953F,0,0,123889,29679,0.23956122012446626,
343,000343F,0,0,1687241,855419,0.5069927769654721,
577,000577F,0,0,34802,19089,0.5485029596000229,
3268,003268F,0,0,39363,18987,0.48235652770368115,
2704,002704F,0,0,82982,29983,0.3613193222626594,
2998,002998F,0,0,23903,20544,0.8594737062293436,
587,000587F,0,0,1650801,891867,0.540263181328337,
1754,001754F,0,0,602705,336150,0.5577355422636281,
3399,003399F,0,0,34975,24372,0.6968406004288777,
975,000975F,0,0,1182217,582317,0.4925635479780785,
1095,001095F,0,0,95979,46822,0.48783588076558415,
2349,002349F,0,0,30726,21826,0.7103430319599037,
2526,002526F,0,0,5806,2238,0.38546331381329657,
2906,002906F,0,0,18365,12116,0.6597331881295944,
2959,002959F,0,0,19960,12023,0.6023547094188377,
3510,003510F,0,0,27854,10426,0.3743088963883105,
1205,001205F,452,82,977032,532173,0.5446832857060977,0.18141592920353983
2577,002577F,0,0,147398,86341,0.5857677851802603,
272,000272F,0,0,2389266,1239596,0.518818750193574,
350,000350F,0,0,300239,174999,0.5828656503652091,
843,000843F,0,0,1287930,657506,0.510513770158316,
1535,001535F,0,0,738519,365166,0.4944571500530115,
462,000462F,0,0,1854752,1008035,0.543487754697124,
3456,003456F,0,0,31056,10378,0.3341705306543019,
1448,001448F,0,0,21871,17346,0.7931050249188423,
1821,001821F,0,0,31684,21497,0.6784812523671253,
2447,002447F,0,0,23321,13543,0.5807212383688521,
144,000144F,0,0,869331,456946,0.5256294782999801,
632,000632F,0,0,187297,105956,0.5657111432644409,
931,000931F,0,0,1208156,686457,0.5681857309817606,
3526,003526F,0,0,27124,19608,0.722902226810205,
2653,002653F,0,0,32836,19051,0.5801863808015593,
239,000239F,0,0,9722,8304,0.8541452376054309,
1568,001568F,0,0,17410,9200,0.5284319356691557,
1564,001564F,0,0,20227,7827,0.386958026400356,
3130,003130F,0,0,80074,39434,0.49246946574418665,
3449,003449F,0,0,31411,19208,0.6115055235427079,
93,000093F,0,0,3244993,1779173,0.5482825386680341,
718,000718F,0,0,40495,26336,0.6503518952957155,
2185,002185F,0,0,383765,213105,0.5553007700024755,
2452,002452F,0,0,279144,147854,0.5296692746396126,
1093,001093F,0,0,1047548,568616,0.5428066303405668,
30,000030F,0,0,4081992,2133731,0.5227180749006858,
417,000417F,0,0,1892852,945607,0.4995673195791324,
2159,002159F,0,0,391534,221862,0.5666481071886478,
2865,002865F,754,0,75845,43270,0.5705056364954842,0.0
3397,003397F,0,0,35046,27939,0.7972093819551447,
1680,001680F,0,0,6226,3470,0.5573401863154513,
1689,001689F,0,0,27747,23983,0.8643456950300934,
27,000027F,0,0,4215436,2083247,0.4941949065292416,
1511,001511F,0,0,2681,1099,0.40992167101827676,
3102,003102F,0,0,88480,47956,0.541998191681736,
299,000299F,0,0,2251280,1174524,0.5217138694431612,
59,000059F,0,0,3687382,2026993,0.5497106076885986,
1887,001887F,0,0,27638,21282,0.7700267747304436,
1733,001733F,0,0,26046,13540,0.5198494970436919,
363,000363F,0,0,31888,13691,0.4293464626191671,
414,000414F,0,0,24346,14223,0.5842027437772118,
431,000431F,0,0,209089,107364,0.5134846883384587,
2189,002189F,0,0,20856,13263,0.6359321058688148,
1656,001656F,0,0,219521,104776,0.4772937441064864,
3007,003007F,0,0,107693,47485,0.44092930831158944,
979,000979F,0,0,1162751,612661,0.5269064485861548,
1204,001204F,0,0,747795,402880,0.5387572797357565,
1509,001509F,0,0,106693,48001,0.44989830635561845,
1489,001489F,0,0,774900,420534,0.5426945412311266,
1613,001613F,0,0,86823,54627,0.6291766006703293,
498,000498F,0,0,5018,1642,0.3272220007971303,
1732,001732F,0,0,23256,14136,0.6078431372549019,
662,000662F,0,0,138291,65191,0.47140450210064283,
1865,001865F,0,0,32620,21184,0.6494175352544451,
3099,003099F,0,0,89567,38959,0.43497046903435416,
3079,003079F,0,0,27545,17949,0.6516246142675621,
3127,003127F,0,0,24094,12135,0.5036523615837968,
3257,003257F,0,0,53836,31446,0.5841072888030314,
3293,003293F,0,0,46984,27526,0.585859015835178,
3603,003603F,0,0,21635,12121,0.5602495955627456,
3636,003636F,0,0,16858,10700,0.6347134891446198,
2307,002307F,0,0,323504,164327,0.5079597161086107,
1598,001598F,0,0,28685,22714,0.7918424263552379,
2330,002330F,0,0,18491,13600,0.7354929425125737,
1985,001985F,0,0,470801,254596,0.5407720034579366,
1398,001398F,0,0,373993,229893,0.6146986708307375,
1207,001207F,0,0,20631,7443,0.36076777664679366,
1012,001012F,0,0,1170089,628452,0.5370976053958288,
3228,003228F,0,0,59237,22090,0.3729088238769688,
78,000078F,0,0,3339199,1659044,0.4968389125655584,
1181,001181F,0,0,35297,18577,0.5263053517296088,
2151,002151F,0,0,34727,15021,0.4325452817692286,
3154,003154F,0,0,35463,23973,0.6760003383808476,
2766,002766F,0,0,31931,15680,0.4910588456359024,
1710,001710F,0,0,434142,233017,0.5367299178609763,
734,000734F,0,0,1238253,661228,0.5340007252152832,
3185,003185F,0,0,23788,11796,0.49588027576929544,
605,000605F,0,0,6851,5874,0.8573930813019998,
1225,001225F,0,0,961503,583978,0.6073595194190762,
1551,001551F,0,0,130262,74153,0.5692604136279191,
2655,002655F,1949,1757,209356,112894,0.5392441582758555,0.9014879425346332
3748,3751,0,0,29001,16680,0.5751525809454846,
476,000476F,0,0,757759,413437,0.5456048690942635,
2044,002044F,0,0,445370,234200,0.5258549071558479,
1275,001275F,0,0,31312,22856,0.729943791517629,
148,000148F,0,0,309303,161959,0.5236257003650142,
2096,002096F,0,0,70842,39984,0.5644109426611332,
2222,002222F,0,0,380950,223391,0.5864050400315002,
2305,002305F,0,0,13722,2077,0.15136277510566973,
224,000224F,0,0,520695,296100,0.5686630369026013,
2361,002361F,0,0,32844,20087,0.6115881135062721,
2711,002711F,0,0,71443,31827,0.4454880114216928,
240,000240F,0,0,2508564,1384197,0.5517885929958335,
2739,002739F,0,0,17661,9727,0.5507615650302927,
1117,001117F,0,0,1049913,547037,0.5210307901702331,
2214,002214F,0,0,63280,39696,0.6273072060682681,
3329,003329F,0,0,42284,22256,0.5263456626619998,
1833,001833F,0,0,565317,300002,0.5306792472188171,
326,000326F,0,0,2156656,1174038,0.5443788902819922,
2147,002147F,0,0,402914,202799,0.503330735591218,
2392,002392F,0,0,24736,15469,0.6253638421733506,
2540,002540F,0,0,121376,80767,0.6654280912206697,
3471,003471F,0,0,30204,13841,0.458250562839359,
166,000166F,0,0,83171,53597,0.6444193288526049,
573,000573F,0,0,29978,21322,0.7112549202748683,
2984,002984F,0,0,114033,54303,0.47620425666254507,
1278,001278F,0,0,888786,459953,0.5175070264383103,
3032,003032F,0,0,102176,55682,0.5449616348261823,
163,000163F,0,0,35051,17662,0.5038943254115432,
858,000858F,0,0,395531,190984,0.4828546940694914,
2630,002630F,0,0,27506,21044,0.7650694393950411,
3498,003498F,0,0,28733,17776,0.6186614693905962,
1603,001603F,0,0,721394,379768,0.5264363163541699,
1400,001400F,0,0,836509,390821,0.4672047760394688,
120,000120F,0,0,4261,3463,0.8127200187749355,
193,000193F,0,0,6646,2515,0.3784231116461029,
3433,003433F,0,0,32844,17073,0.5198209718670077,
2399,002399F,0,0,20704,9855,0.47599497681607417,
1059,001059F,0,0,714301,406626,0.5692642177457402,
2737,002737F,0,0,32437,17043,0.5254185035607485,
2819,002819F,0,0,154892,84347,0.5445536244609147,
171,000171F,995,842,2771716,1626179,0.5867047706186348,0.8462311557788945
2885,002885F,0,0,140523,86048,0.6123410402567552,
954,000954F,0,0,1198035,613360,0.5119716869707479,
1480,001480F,0,0,777441,391025,0.5029642120752572,
651,000651F,0,0,1519434,843499,0.5551402693371348,
1644,001644F,0,0,20610,12178,0.5908782144590005,
1507,001507F,0,0,13456,9027,0.6708531510107015,
3625,003625F,0,0,16310,449,0.027529123237277745,
912,000912F,0,0,121016,54387,0.4494199114166722,
1158,001158F,0,0,25149,16137,0.6416557318382441,
3035,003035F,0,0,28555,15671,0.5488005603221853,
821,000821F,485,154,345512,179451,0.5193770404501146,0.31752577319587627
3239,003239F,0,0,48888,8157,0.16685076092292586,
468,000468F,0,0,1922825,1052230,0.5472312872986361,
3365,003365F,0,0,37626,16156,0.42938393663955776,
1947,001947F,0,0,25639,10818,0.4219353328912984,
825,000825F,0,0,1167032,604289,0.5177998546740792,
951,000951F,0,0,76026,47533,0.625220319364428,
3216,003216F,0,0,62843,32207,0.5124994032748278,
199,000199F,0,0,2669047,1326774,0.49709652921061337,
2771,002771F,0,0,171576,98925,0.5765666526786963,
1096,001096F,0,0,1063822,568605,0.5344926124859234,
2157,002157F,0,0,24350,18282,0.7508008213552362,
1844,001844F,0,0,46626,19783,0.4242911680178441,
2479,002479F,0,0,270388,148595,0.5495621107445596,
3227,003227F,0,0,21529,12663,0.5881833805564587,
1283,001283F,0,0,247858,132462,0.5344269702813708,
2012,002012F,0,0,446139,217411,0.4873167331257747,
3314,003314F,0,0,44971,21721,0.4830001556558671,
2706,002706F,0,0,188419,90985,0.48288654541208686,
973,000973F,0,0,18861,8614,0.456709612427761,
918,000918F,0,0,1201913,629494,0.5237433990646577,
2504,002504F,0,0,261040,110140,0.4219276739197058,
469,000469F,0,0,30131,11804,0.3917559988052172,
1516,001516F,0,0,741462,437116,0.5895325721345126,
2862,002862F,0,0,156216,94619,0.6056933988835971,
3246,003246F,0,0,55488,31005,0.5587694636678201,
3176,003176F,0,0,70741,25239,0.3567803678206415,
3291,003291F,0,0,47031,26704,0.5677957092130722,
3319,003319F,0,0,24853,15340,0.617229308332998,
1060,001060F,0,0,11490,6190,0.5387293298520452,
460,000460F,0,0,29389,12902,0.439007792031032,
1933,001933F,0,0,505758,311817,0.6165339945191178,
2318,002318F,0,0,33495,15713,0.46911479325272426,
1972,001972F,0,0,23010,11516,0.5004780530204259,
3044,003044F,0,0,28178,16037,0.5691319469089361,
2497,002497F,0,0,66017,38764,0.5871820894618053,
1000,001000F,0,0,635885,345326,0.5430636042680673,
3212,003212F,0,0,29697,18193,0.6126208034481597,
177,000177F,0,0,26128,19149,0.7328919167176975,
2563,002563F,0,0,242112,135616,0.5601374570446735,
479,000479F,0,0,1846192,953213,0.5163130378638842,
3120,003120F,0,0,17613,1107,0.0628513030148186,
833,000833F,0,0,1316017,712640,0.5415127616132618,
28,000028F,0,0,703691,418630,0.594906002776787,
3464,003464F,0,0,30496,14632,0.479800629590766,
1131,001131F,0,0,1036221,590218,0.5695869896479612,
2547,002547F,0,0,63374,24138,0.38088174961340615,
1231,001231F,0,0,962804,493805,0.5128821650097009,
2662,002662F,0,0,204909,105450,0.514618684391608,
1061,001061F,0,0,29936,11596,0.3873597006948156,
2981,002981F,0,0,114808,55959,0.48741376907532574,
217,000217F,0,0,198157,108953,0.5498316991072735,
68,000068F,0,0,332172,170863,0.514381103765519,
3437,003437F,0,0,32435,16614,0.5122244488977956,
650,000650F,0,0,1529785,808626,0.5285880041966682,
3017,003017F,0,0,96531,49449,0.5122603101594306,
3192,003192F,0,0,67221,35516,0.5283467963880335,
3254,003254F,0,0,54058,24721,0.45730511672647894,
1888,001888F,0,0,24956,12604,0.5050488860394294,
3260,003260F,0,0,53271,31885,0.5985432974789285,
658,000658F,0,0,233916,110157,0.4709254604216898,
2851,002851F,0,0,147888,75828,0.512739370334307,
3208,003208F,0,0,24166,14669,0.6070098485475461,
82,000082F,0,0,92388,38843,0.42043338961769927,
3054,003054F,0,0,22974,11973,0.5211543483938366,
1580,001580F,0,0,318255,150842,0.47396584499850747,
2107,002107F,0,0,38447,26636,0.6927978775977319,
1097,001097F,0,0,1063357,555469,0.5223730130144438,
2111,002111F,0,0,422073,202797,0.4804784954261467,
791,000791F,0,0,1437829,707401,0.4919924413821115,
3064,003064F,0,0,26604,13749,0.5168019846639603,
135,000135F,0,0,19100,11977,0.6270680628272252,
3219,003219F,0,0,62720,39529,0.6302455357142858,
2681,002681F,0,0,97624,64566,0.6613742522330575,
3505,003505F,0,0,3772,2216,0.5874867444326617,
37,000037F,0,0,24198,13789,0.5698404826845194,
1312,001312F,0,0,25588,15187,0.5935204001875879,
3475,003475F,0,0,29899,17661,0.5906886517943744,
2519,002519F,0,0,153515,83659,0.5449565189069472,
2601,002601F,0,0,227850,131405,0.5767171384682905,
3240,003240F,0,0,21272,15526,0.7298796540052651,
3401,003401F,0,0,34774,11873,0.3414332547305458,
3156,003156F,0,0,68942,34854,0.5055553943894868,
2257,002257F,0,0,154952,73590,0.4749212659404203,
3621,003621F,0,0,19981,15409,0.7711826234923177,
1853,001853F,0,0,24469,13572,0.5546609996321876,
1020,001020F,0,0,147200,91040,0.6184782608695653,
1766,001766F,0,0,116684,58427,0.5007284631997532,
893,000893F,0,0,33206,17439,0.5251761729807866,
3321,003321F,0,0,15181,10875,0.7163559712798894,
676,000676F,0,0,192860,93631,0.48548688167582704,
3552,003552F,0,0,25995,216,0.00830929024812464,
1596,001596F,0,0,666907,406671,0.6097866719047783,
1775,001775F,0,0,28085,17324,0.6168417304611002,
41,000041F,2115,672,3896317,2104686,0.5401731943268476,0.3177304964539007
1894,001894F,0,0,161211,87777,0.5444851778104471,
1868,001868F,0,0,113811,69277,0.6087021465411955,
1054,001054F,0,0,1112948,606999,0.5453974489374167,
2197,002197F,0,0,250973,130005,0.5180039287094628,
2491,002491F,0,0,264646,157568,0.5953915796951399,
1841,001841F,0,0,28085,15478,0.5511126936086879,
2303,002303F,0,0,331757,197253,0.594570724958328,
3598,003598F,0,0,22103,16148,0.7305795593358367,
127,000127F,0,0,3096646,1475510,0.47648649538888205,
1530,001530F,0,0,743963,401154,0.5392122995364017,
2924,002924F,0,0,37641,17082,0.4538136606360086,
2600,002600F,0,0,232682,126974,0.5456975614787564,
3189,003189F,0,0,67772,41194,0.6078321430679337,
2976,002976F,24098,2220,116197,61619,0.5302976841054416,0.09212382770354387
2997,002997F,0,0,22811,12324,0.540265661303757,
2037,002037F,0,0,454100,249754,0.5499977978418851,
1797,001797F,0,0,231013,147347,0.6378299056763039,
2807,002807F,0,0,36520,21690,0.593921139101862,
1490,001490F,0,0,387372,203437,0.5251721859091519,
2120,002120F,0,0,84979,54400,0.6401581567210722,
2264,002264F,0,0,46956,38349,0.8167007411193458,
1477,001477F,0,0,135739,88607,0.6527748104818807,
20,000020F,0,0,1521451,879841,0.5782907237893301,
2511,002511F,0,0,249939,145147,0.5807296980463234,
3018,003018F,0,0,27777,10894,0.39219498145948084,
1698,001698F,0,0,626431,370092,0.590794516874165,
1631,001631F,0,0,676910,304998,0.4505739315418593,
1017,001017F,0,0,160103,75525,0.4717275753733534,
3107,003107F,0,0,87641,40370,0.4606291575860613,
288,000288F,0,0,2279136,1234982,0.5418641099083161,
978,000978F,0,0,1174217,649687,0.5532938119615028,
249,000249F,0,0,997711,533051,0.5342739530785969,
1082,001082F,0,0,28304,13828,0.4885528547201809,
2445,002445F,0,0,166085,85367,0.5139958455007978,
3556,003556F,0,0,25753,14451,0.5611385081349746,
1031,001031F,0,0,164563,103480,0.6288169272558229,
3269,003269F,0,0,50863,26123,0.5135953443564084,
145,000145F,1892,1421,2968756,1664283,0.5605994564726774,0.7510570824524313
3135,003135F,0,0,8684,4447,0.5120912022109627,
3695,003695F,0,0,7624,7477,0.9807187827911857,
1663,001663F,0,0,27861,23061,0.827716162377517,
1515,001515F,0,0,331620,184589,0.5566280682709125,
2003,002003F,0,0,31332,17583,0.56118345461509,
996,000996F,0,0,18167,9368,0.5156602631144382,
3663,003663F,0,0,13126,7892,0.6012494286149627,
