,contig,eveSites,eveTEoverlap,length,piEVEReads,piEVEoverlap,piReads,piSites,teSites,teProp,eveTEProp,pi/eveProp,eve/piProp,piReads/EVEProp
2053,002053F,0,0,27705,0,0,1804,186,18604,0.6715033387475186,,,0.0,0.0
2631,002631F,0,0,19736,0,0,0,0,8574,0.4344345358735306,,,,
1451,001451F,0,0,95707,0,0,153,32,49571,0.5179453958435642,,,0.0,0.0
1103,001103F,0,0,187921,0,0,39,13,87250,0.4642908456212983,,,0.0,0.0
2554,002554F,0,0,243971,0,0,1392,92,126462,0.5183484922388316,,,0.0,0.0
3140,003140F,0,0,32793,0,0,1,1,18854,0.574939773732199,,,0.0,0.0
3381,003381F,0,0,29042,0,0,0,0,16585,0.5710694855726189,,,,
3138,003138F,0,0,73736,0,0,291,234,3318,0.04499837257242053,,,0.0,0.0
1576,001576F,0,0,725148,0,0,1255,159,350905,0.4839081125508172,,,0.0,0.0
2219,002219F,0,0,111222,0,0,23,12,65373,0.5877704051356746,,,0.0,0.0
317,000317F,0,0,637943,0,0,3214,556,332956,0.5219212374773294,,,0.0,0.0
3534,003534F,0,0,26854,0,0,1,1,10415,0.3878379384821628,,,0.0,0.0
2817,002817F,0,0,155322,0,0,276,170,60280,0.38809698561697636,,,0.0,0.0
2301,002301F,0,0,338059,0,0,136,90,181785,0.5377315793988623,,,0.0,0.0
3585,003585F,0,0,23702,0,0,0,0,14211,0.5995696565690659,,,,
2602,002602F,0,0,80325,0,0,67,10,46084,0.5737192654839713,,,0.0,0.0
2619,002619F,0,0,210510,0,0,69,40,120740,0.5735594508574414,,,0.0,0.0
924,000924F,0,0,1193378,0,0,308,105,696126,0.5833239761416752,,,0.0,0.0
553,000553F,0,0,1002083,0,0,1146,156,543913,0.5427823842935166,,,0.0,0.0
251,000251F,0,0,85554,0,0,1,1,58211,0.6804006826098137,,,0.0,0.0
2819,002819F,0,0,154892,0,0,12,5,84577,0.5460385300725666,,,0.0,0.0
3598,003598F,0,0,22103,0,0,3,3,16179,0.7319820838800163,,,0.0,0.0
693,000693F,0,0,1063142,0,0,3508,338,535837,0.5040126342482942,,,0.0,0.0
2341,002341F,0,0,26824,0,0,1,1,11344,0.42290486131822247,,,0.0,0.0
2483,002483F,0,0,269301,0,0,53,17,140376,0.5212605968785857,,,0.0,0.0
625,000625F,0,0,1510636,0,0,2035,392,823338,0.5450273924360336,,,0.0,0.0
702,000702F,0,0,1520972,0,0,4730,520,773987,0.5088765605152494,,,0.0,0.0
2591,002591F,0,0,232251,0,0,48,20,142014,0.6114677654778666,,,0.0,0.0
333,000333F,0,0,2150774,0,0,2724,379,1184154,0.5505710967307583,,,0.0,0.0
3593,003593F,0,0,22674,0,0,0,0,11201,0.49400194054864605,,,,
3492,003492F,0,0,28910,0,0,0,0,19218,0.6647526807333103,,,,
3501,003501F,0,0,28280,0,0,0,0,14589,0.5158769448373409,,,,
1785,001785F,0,0,586132,0,0,347,201,270361,0.4612629919540308,,,0.0,0.0
2575,002575F,0,0,236976,0,0,134,84,108988,0.4599115522246979,,,0.0,0.0
2788,002788F,0,0,162638,0,0,8,5,84503,0.5195772205757572,,,0.0,0.0
295,000295F,1758,580,2185659,323,95,6916,747,1239826,0.5672550018095229,0.32992036405005687,0.0540386803185438,0.12717536813922356,0.046703296703296704
2405,002405F,0,0,298817,0,0,18,14,167285,0.5598242402540685,,,0.0,0.0
754,000754F,0,0,1403417,0,0,905,250,769783,0.5485062529526149,,,0.0,0.0
470,000470F,0,0,1853294,0,0,6315,678,1017956,0.5492684916694275,,,0.0,0.0
2016,002016F,0,0,460410,0,0,291,68,250611,0.5443213657392324,,,0.0,0.0
184,000184F,0,0,2723487,0,0,1925,356,1572786,0.5774898136102724,,,0.0,0.0
2021,002021F,0,0,454600,0,0,685,158,258130,0.5678178618565772,,,0.0,0.0
3525,003525F,0,0,27170,0,0,102,54,18015,0.6630474788369525,,,0.0,0.0
2027,002027F,0,0,82223,0,0,135,55,43782,0.5324787468226652,,,0.0,0.0
1248,001248F,0,0,833730,0,0,383,107,453702,0.544183368716491,,,0.0,0.0
3589,003589F,0,0,23272,0,0,0,0,3240,0.13922310072189756,,,,
1422,001422F,0,0,811374,0,0,213,62,408170,0.5030602410232519,,,0.0,0.0
2236,002236F,0,0,7986,0,0,0,0,7394,0.925870272977711,,,,
627,000627F,0,0,148098,0,0,6,4,70826,0.4782373833542654,,,0.0,0.0
3709,003709F,0,0,4663,0,0,0,0,3443,0.7383658588891272,,,,
3115,003115F,0,0,21201,0,0,0,0,580,0.027357200132069243,,,,
2313,002313F,0,0,3724,0,0,0,0,344,0.09237379162191192,,,,
2959,002959F,0,0,19960,0,0,5,3,12049,0.6036573146292585,,,0.0,0.0
3274,003274F,0,0,17561,0,0,1,1,13169,0.7499003473606287,,,0.0,0.0
3397,003397F,0,0,35046,0,0,14,6,27974,0.7982080693945101,,,0.0,0.0
3417,003417F,0,0,34045,0,0,0,0,21635,0.6354824496989279,,,,
60,000060F,0,0,3500444,0,0,8667,780,1887530,0.5392258810596599,,,0.0,0.0
2970,002970F,0,0,23281,0,0,0,0,16919,0.726729951462566,,,,
138,000138F,0,0,2973314,0,0,1765,478,1580338,0.5315072676481528,,,0.0,0.0
1233,001233F,0,0,646073,0,0,219,61,327057,0.5062229809944078,,,0.0,0.0
2581,002581F,0,0,236061,0,0,451,111,143373,0.6073557258505217,,,0.0,0.0
356,000356F,0,0,2107250,0,0,2211,400,1177172,0.558629493415589,,,0.0,0.0
1066,001066F,0,0,1122198,0,0,4493,531,544695,0.48538225874578284,,,0.0,0.0
1902,001902F,0,0,517176,0,0,887,233,274097,0.5299878571318082,,,0.0,0.0
2081,002081F,0,0,443400,0,0,41,20,228698,0.5157825890843483,,,0.0,0.0
433,000433F,0,0,790743,0,0,3752,226,453611,0.573651616264703,,,0.0,0.0
726,000726F,0,0,23327,0,0,1,1,11757,0.5040082308055044,,,0.0,0.0
1390,001390F,0,0,33793,0,0,5,3,21739,0.6432989080578818,,,0.0,0.0
2745,002745F,0,0,179861,0,0,41,10,96445,0.5362196362746788,,,0.0,0.0
2858,002858F,0,0,29033,0,0,0,0,13641,0.4698446595253677,,,,
2965,002965F,0,0,121474,0,0,23,21,67107,0.5524392050973871,,,0.0,0.0
1425,001425F,0,0,825727,0,0,978,180,431696,0.5228071747684162,,,0.0,0.0
3401,003401F,0,0,34774,0,0,26,9,11909,0.34246851095646175,,,0.0,0.0
3738,3738,0,0,30852,0,0,0,0,7403,0.23995202904187735,,,,
1561,001561F,0,0,13513,0,0,0,0,9547,0.706504847184193,,,,
1658,001658F,0,0,32283,0,0,1,1,21700,0.672180404547285,,,0.0,0.0
2460,002460F,0,0,165785,0,0,3,2,71787,0.4330126368489308,,,0.0,0.0
1670,001670F,0,0,34172,0,0,2,1,21239,0.621532248624605,,,0.0,0.0
821,000821F,486,155,345512,3251,129,16838,2761,179876,0.5206070990298456,0.31893004115226337,0.2654320987654321,0.04672220210068816,0.19307518707684998
1602,001602F,2316,256,687684,169,60,1973,584,382567,0.5563122015344257,0.11053540587219343,0.025906735751295335,0.10273972602739725,0.08565636087176888
2635,002635F,0,0,37363,0,0,25,12,28819,0.7713245724379734,,,0.0,0.0
2615,002615F,0,0,211185,0,0,42,17,111546,0.5281909226507564,,,0.0,0.0
1876,001876F,0,0,541298,0,0,74,27,277064,0.5118511429933235,,,0.0,0.0
2981,002981F,0,0,114808,0,0,8,6,56115,0.4887725594035259,,,0.0,0.0
3286,003286F,0,0,47810,0,0,2,2,18250,0.3817193055846057,,,0.0,0.0
104,000104F,0,0,31192,0,0,1,1,17309,0.5549179276737625,,,0.0,0.0
2038,002038F,0,0,294734,0,0,176,80,156354,0.5304919011719041,,,0.0,0.0
1026,001026F,0,0,26298,0,0,0,0,13957,0.5307247699444825,,,,
3538,003538F,0,0,26738,0,0,0,0,15531,0.5808587029695564,,,,
55,000055F,0,0,3645395,0,0,4648,762,1940688,0.5323670000096011,,,0.0,0.0
380,000380F,0,0,2042682,0,0,4070,428,1179019,0.5771916529347202,,,0.0,0.0
1206,001206F,0,0,128475,0,0,66,34,56329,0.43844327690212104,,,0.0,0.0
2146,002146F,0,0,401195,0,0,843,175,219969,0.5482845000560824,,,0.0,0.0
2514,002514F,0,0,251488,0,0,15,7,126559,0.5032407112864232,,,0.0,0.0
2620,002620F,0,0,220588,0,0,4,4,120913,0.5481395180154859,,,0.0,0.0
272,000272F,0,0,2389266,0,0,5765,537,1242764,0.5201446804164961,,,0.0,0.0
1573,001573F,0,0,26126,0,0,2,2,14558,0.5572226900405726,,,0.0,0.0
2,000002F,1874,937,5379537,0,0,2687,639,3061435,0.5690889383231308,0.5,0.0,0.0,0.0
2217,002217F,0,0,355546,0,0,485,147,186627,0.5249025442558769,,,0.0,0.0
1080,001080F,0,0,885821,0,0,279,94,480985,0.5429821600526518,,,0.0,0.0
2364,002364F,0,0,34502,0,0,109,9,23447,0.6795837922439278,,,0.0,0.0
2334,002334F,0,0,325759,0,0,23,8,182005,0.5587105805211828,,,0.0,0.0
2931,002931F,0,0,127571,0,0,6,4,74716,0.585681698818697,,,0.0,0.0
1727,001727F,0,0,616378,0,0,82,52,324008,0.5256644461677736,,,0.0,0.0
952,000952F,0,0,24113,0,0,0,0,14579,0.6046116202878116,,,,
1935,001935F,0,0,505698,0,0,203,70,292349,0.5781098600350407,,,0.0,0.0
2233,002233F,0,0,28435,0,0,0,0,16942,0.5958150167047652,,,,
3428,003428F,0,0,27941,0,0,4,4,16552,0.5923911098385884,,,0.0,0.0
3163,003163F,0,0,72701,0,0,6,5,47896,0.6588079943879727,,,0.0,0.0
1511,001511F,0,0,2681,0,0,0,0,1103,0.4114136516225289,,,,
576,000576F,0,0,1656649,0,0,1173,244,906109,0.5469529151920534,,,0.0,0.0
2228,002228F,0,0,19184,0,0,0,0,8728,0.4549624687239366,,,,
2687,002687F,0,0,190366,0,0,232,10,94152,0.4945841169116334,,,0.0,0.0
2213,002213F,0,0,30741,0,0,3,3,15809,0.5142643375296835,,,0.0,0.0
549,000549F,0,0,27235,0,0,3,3,13879,0.5096016155682027,,,0.0,0.0
492,000492F,0,0,664859,0,0,148,79,345511,0.5196756003904587,,,0.0,0.0
2757,002757F,0,0,172056,0,0,206,62,78775,0.4578451201934254,,,0.0,0.0
3058,003058F,0,0,93405,0,0,21,17,4823,0.05163535142658316,,,0.0,0.0
508,000508F,0,0,1781577,0,0,12620,863,961763,0.5398380199115728,,,0.0,0.0
201,000201F,0,0,2682613,0,0,791,288,1453819,0.5419413832707141,,,0.0,0.0
117,000117F,0,0,3155220,0,0,2486,792,1683693,0.5336214273489646,,,0.0,0.0
2039,002039F,0,0,451225,0,0,206,117,236344,0.5237830350711951,,,0.0,0.0
2862,002862F,0,0,156216,0,0,9,7,94817,0.6069608746863318,,,0.0,0.0
1210,001210F,0,0,248492,0,0,420,39,149667,0.6023010801152552,,,0.0,0.0
2157,002157F,0,0,24350,0,0,2,2,18303,0.7516632443531828,,,0.0,0.0
189,000189F,0,0,10883,0,0,4,2,4569,0.4198290912432234,,,0.0,0.0
3648,003648F,0,0,15516,0,0,0,0,795,0.051237432327919566,,,,
1097,001097F,0,0,1063357,0,0,2146,176,556946,0.5237620103126231,,,0.0,0.0
2100,002100F,0,0,240755,0,0,552,59,140460,0.5834146746692696,,,0.0,0.0
716,000716F,0,0,1465170,0,0,1779,460,807598,0.5511974719657105,,,0.0,0.0
1263,001263F,0,0,9055,0,0,0,0,4796,0.5296521258972943,,,,
2604,002604F,0,0,35663,0,0,1,1,20678,0.579816616661526,,,0.0,0.0
1108,001108F,0,0,1067144,0,0,910,236,617660,0.5787972382358895,,,0.0,0.0
2422,002422F,0,0,271862,0,0,21,10,135610,0.49881925388616283,,,0.0,0.0
1118,001118F,0,0,789810,0,0,163,99,407202,0.5155695673643028,,,0.0,0.0
2421,002421F,0,0,121446,0,0,66,12,65574,0.5399436786720023,,,0.0,0.0
3565,003565F,0,0,24927,0,0,4,1,14369,0.5764432141854214,,,0.0,0.0
1781,001781F,0,0,69478,0,0,73,43,32454,0.4671118915340108,,,0.0,0.0
767,000767F,0,0,812673,0,0,1653,189,436302,0.5368727643221812,,,0.0,0.0
2049,002049F,0,0,25499,0,0,25,2,17379,0.6815561394564492,,,0.0,0.0
3544,003544F,0,0,26514,0,0,3,3,13766,0.519197405144452,,,0.0,0.0
1718,001718F,0,0,623680,0,0,947,130,349035,0.559637955361724,,,0.0,0.0
3110,003110F,0,0,30195,0,0,3,2,20189,0.6686206325550588,,,0.0,0.0
2106,002106F,0,0,256760,0,0,13,11,142054,0.5532559588720984,,,0.0,0.0
1183,001183F,0,0,981218,0,0,1724,224,483035,0.4922810221581748,,,0.0,0.0
2111,002111F,0,0,422073,0,0,87,39,203258,0.4815707235478223,,,0.0,0.0
15,000015F,12848,6249,4466505,22804,1922,111159,13160,2555342,0.5721121995833431,0.486379202988792,0.14959526774595266,0.14604863221884498,0.20514758139241987
1687,001687F,0,0,187983,0,0,40,9,77787,0.4137980562072102,,,0.0,0.0
3338,003338F,0,0,41320,0,0,1,1,27849,0.6739835430784124,,,0.0,0.0
2164,002164F,0,0,30656,0,0,1,1,18418,0.6007959290187892,,,0.0,0.0
3002,003002F,0,0,109039,0,0,7,5,62298,0.5713368611230843,,,0.0,0.0
3006,003006F,0,0,107994,0,0,3,3,46920,0.434468581587866,,,0.0,0.0
3328,003328F,0,0,26952,0,0,185,45,15629,0.5798827545265658,,,0.0,0.0
1147,001147F,0,0,285753,0,0,153,50,138377,0.48425388359877236,,,0.0,0.0
3131,003131F,0,0,21391,0,0,64,23,12396,0.5794960497405451,,,0.0,0.0
335,000335F,0,0,2154866,0,0,2161,415,1146127,0.5318785483644922,,,0.0,0.0
2451,002451F,0,0,277330,0,0,95,49,150833,0.5438755273500884,,,0.0,0.0
2848,002848F,0,0,25548,0,0,0,0,13975,0.5470095506497573,,,,
3159,003159F,0,0,73405,0,0,19,10,44669,0.6085280294257884,,,0.0,0.0
3669,003669F,0,0,12218,0,0,0,0,8906,0.7289245375675233,,,,
2596,002596F,0,0,225829,0,0,345,46,123253,0.545780214232893,,,0.0,0.0
2540,002540F,0,0,121376,0,0,344,42,80919,0.6666803981017664,,,0.0,0.0
2740,002740F,0,0,180886,0,0,25,13,99806,0.5517618831750384,,,0.0,0.0
698,000698F,0,0,1490355,0,0,707,138,845821,0.5675298838196269,,,0.0,0.0
2992,002992F,0,0,111943,0,0,175,57,61717,0.5513252280178305,,,0.0,0.0
2241,002241F,0,0,355878,0,0,672,158,197469,0.5548783571898235,,,0.0,0.0
793,000793F,0,0,1388615,0,0,1058,325,791480,0.5699779996615333,,,0.0,0.0
1141,001141F,0,0,27060,0,0,1,1,14992,0.5540280857354029,,,0.0,0.0
3340,003340F,0,0,41061,0,0,0,0,9582,0.23336012274420984,,,,
3057,003057F,0,0,58545,0,0,3,3,35698,0.6097531813135195,,,0.0,0.0
506,000506F,0,0,1679246,0,0,1570,292,906218,0.5396576796967211,,,0.0,0.0
1458,001458F,0,0,770269,0,0,148,87,321952,0.41797346121939216,,,0.0,0.0
43,000043F,2643,1750,3916582,0,0,8049,1100,2142419,0.5470124205238138,0.6621263715474839,0.0,0.0,0.0
1598,001598F,0,0,28685,0,0,19,13,22741,0.7927836848527104,,,0.0,0.0
791,000791F,0,0,1437829,0,0,2901,248,709351,0.49334865272574135,,,0.0,0.0
1726,001726F,0,0,617112,0,0,240,55,357364,0.5790909915866164,,,0.0,0.0
949,000949F,0,0,330010,0,0,35,18,160114,0.4851792369928184,,,0.0,0.0
342,000342F,0,0,699748,0,0,258,69,339142,0.48466305012661703,,,0.0,0.0
1832,001832F,0,0,544135,0,0,0,0,277887,0.5106949562149099,,,,
571,000571F,0,0,1654570,0,0,907,174,854915,0.5166992028140241,,,0.0,0.0
2730,002730F,0,0,183303,0,0,3,3,118119,0.6443920721428454,,,0.0,0.0
2985,002985F,0,0,113975,0,0,5,5,26427,0.23186663742048694,,,0.0,0.0
2321,002321F,0,0,81579,0,0,11,9,39536,0.4846345260422413,,,0.0,0.0
3318,003318F,0,0,44609,0,0,3,3,22061,0.49454146024344864,,,0.0,0.0
608,000608F,0,0,1548610,0,0,2217,256,795699,0.5138149695533414,,,0.0,0.0
585,000585F,0,0,1663372,0,0,1934,533,930132,0.5591845961095895,,,0.0,0.0
2834,002834F,0,0,152154,0,0,165,70,69925,0.4595672805184221,,,0.0,0.0
1322,001322F,0,0,885005,0,0,1207,121,462585,0.522691962192304,,,0.0,0.0
1844,001844F,0,0,46626,0,0,139,10,19853,0.4257924763007764,,,0.0,0.0
3204,003204F,0,0,22737,0,0,0,0,7260,0.3193033381712627,,,,
3105,003105F,0,0,22940,0,0,0,0,17000,0.7410636442894507,,,,
401,000401F,0,0,40293,0,0,5,3,20349,0.5050256868438686,,,0.0,0.0
2659,002659F,0,0,207578,0,0,116,26,121474,0.5851968898438178,,,0.0,0.0
3264,003264F,0,0,5992,0,0,0,0,5487,0.915720961281709,,,,
882,000882F,0,0,1449029,0,0,1322,388,782349,0.5399125897411301,,,0.0,0.0
1062,001062F,0,0,1117273,0,0,1026,442,571452,0.5114703389413331,,,0.0,0.0
1532,001532F,0,0,752241,0,0,1828,406,414118,0.5505124022753346,,,0.0,0.0
846,000846F,0,0,1289393,0,0,3842,397,763183,0.5918932396872016,,,0.0,0.0
1530,001530F,0,0,743963,0,0,608,93,402167,0.5405739263915007,,,0.0,0.0
2335,002335F,0,0,30773,0,0,0,0,17108,0.5559418971176031,,,,
3456,003456F,0,0,31056,0,0,0,0,10417,0.3354263266357548,,,,
857,000857F,0,0,26936,0,0,1,1,18638,0.6919364419364419,,,0.0,0.0
3695,003695F,0,0,7624,0,0,5,4,7479,0.9809811122770199,,,0.0,0.0
2066,002066F,0,0,30980,0,0,0,0,18035,0.5821497740477728,,,,
3474,003474F,0,0,29911,0,0,16,12,20338,0.679950519875631,,,0.0,0.0
748,000748F,0,0,1411566,0,0,770,270,714919,0.5064722443017188,,,0.0,0.0
2477,002477F,0,0,270632,0,0,97,34,156667,0.5788931094622957,,,0.0,0.0
474,000474F,0,0,1835697,0,0,4515,533,986228,0.5372498838315909,,,0.0,0.0
574,000574F,0,0,1660832,0,0,18422,1017,925110,0.5570160016184659,,,0.0,0.0
2365,002365F,0,0,25296,0,0,4,3,12193,0.48201296647691333,,,0.0,0.0
2406,002406F,0,0,8241,0,0,0,0,4275,0.5187477247906808,,,,
630,000630F,0,0,1595850,0,0,1465,292,717517,0.4496143121220666,,,0.0,0.0
1620,001620F,0,0,675912,0,0,9553,425,377348,0.5582797760655234,,,0.0,0.0
1900,001900F,0,0,535261,0,0,286,161,238114,0.4448558740502297,,,0.0,0.0
2035,002035F,0,0,25545,0,0,0,0,13531,0.529692699158348,,,,
3011,003011F,0,0,107217,0,0,16,6,69591,0.649066845742746,,,0.0,0.0
606,000606F,0,0,79151,0,0,8,4,38240,0.48312718727495546,,,0.0,0.0
921,000921F,0,0,510992,0,0,286,73,298830,0.5848036759870996,,,0.0,0.0
2915,002915F,0,0,134147,0,0,12,9,69646,0.5191767240415365,,,0.0,0.0
2948,002948F,0,0,124690,0,0,19,7,85517,0.6858368754511188,,,0.0,0.0
3740,3740,0,0,19913,0,0,6,4,9859,0.4951037010997841,,,0.0,0.0
279,000279F,0,0,466320,0,0,90,50,279578,0.5995410876651227,,,0.0,0.0
1346,001346F,0,0,295585,0,0,434,47,164360,0.556049867212477,,,0.0,0.0
556,000556F,675,675,1685659,58,22,378,165,993423,0.5893380571040762,1.0,0.03259259259259259,0.13333333333333333,0.15343915343915343
456,000456F,0,0,1864970,0,0,1193,470,912046,0.48904057437921256,,,0.0,0.0
887,000887F,0,0,827299,0,0,1593,115,424363,0.5129499733470003,,,0.0,0.0
2197,002197F,0,0,250973,0,0,37,21,130368,0.5194502994346005,,,0.0,0.0
3449,003449F,0,0,31411,0,0,8,6,19247,0.6127471268027124,,,0.0,0.0
2518,002518F,0,0,26908,0,0,2,2,16528,0.6142411178831574,,,0.0,0.0
3552,003552F,0,0,25995,0,0,7,7,217,0.008347759184458549,,,0.0,0.0
3419,003419F,0,0,29019,0,0,0,0,1994,0.06871360143354353,,,,
3450,003450F,0,0,31299,0,0,1,1,7186,0.22959199974440078,,,0.0,0.0
2734,002734F,0,0,181775,0,0,162,108,97030,0.5337917755466923,,,0.0,0.0
950,000950F,0,0,23932,0,0,0,0,15765,0.658741434063179,,,,
2826,002826F,0,0,152952,0,0,30,22,70625,0.4617461687326743,,,0.0,0.0
600,000600F,0,0,1006500,0,0,465,187,505706,0.5024401390958768,,,0.0,0.0
3717,003717F,0,0,3040,0,0,0,0,1387,0.45625,,,,
1258,001258F,0,0,921477,0,0,87,50,479798,0.5206836415884498,,,0.0,0.0
490,000490F,0,0,513111,0,0,44,27,250802,0.48878702658878875,,,0.0,0.0
2930,002930F,0,0,126643,0,0,352,87,72757,0.5745047100905696,,,0.0,0.0
3064,003064F,0,0,26604,0,0,0,0,13784,0.5181175763043151,,,,
1588,001588F,0,0,27915,0,0,25,12,18170,0.6509045316138277,,,0.0,0.0
1098,001098F,0,0,1072100,0,0,1178,169,557188,0.5197164443615334,,,0.0,0.0
383,000383F,0,0,164155,0,0,851,6,89030,0.5423532636837136,,,0.0,0.0
1134,001134F,0,0,217252,0,0,137,52,129904,0.5979415609522583,,,0.0,0.0
2263,002263F,0,0,119165,0,0,736,166,57735,0.4844962866613519,,,0.0,0.0
2440,002440F,0,0,27409,0,0,2,2,18589,0.6782078879200263,,,0.0,0.0
1234,001234F,0,0,948674,0,0,1257,280,508599,0.5361156730341509,,,0.0,0.0
266,000266F,0,0,32041,0,0,1,1,17065,0.5325988577135545,,,0.0,0.0
2932,002932F,0,0,130308,0,0,115,43,82250,0.6311968566780244,,,0.0,0.0
2222,002222F,0,0,380950,0,0,130,82,223874,0.5876729229557685,,,0.0,0.0
1262,001262F,0,0,913190,0,0,37,32,464750,0.5089302335768022,,,0.0,0.0
784,000784F,0,0,1391998,0,0,736,188,734152,0.5274088037482813,,,0.0,0.0
903,000903F,0,0,429606,0,0,3294,252,264520,0.6157269684315396,,,0.0,0.0
2047,002047F,0,0,203082,0,0,21,5,108626,0.5348873853911228,,,0.0,0.0
1040,001040F,0,0,436127,0,0,246,105,216728,0.496937818571196,,,0.0,0.0
2169,002169F,0,0,9309,0,0,0,0,5284,0.5676227306907294,,,,
100,000100F,0,0,30981,0,0,0,0,17242,0.55653465026952,,,,
179,000179F,0,0,2783833,0,0,6087,866,1583198,0.5687115570510156,,,0.0,0.0
2145,002145F,0,0,462093,0,0,2048,194,250467,0.5420272542540138,,,0.0,0.0
458,000458F,0,0,25819,0,0,0,0,16332,0.6325574189550331,,,,
1714,001714F,0,0,69107,0,0,60,29,32019,0.46332498878550654,,,0.0,0.0
1927,001927F,0,0,2637,0,0,0,0,694,0.2631778536215396,,,,
